OBJECTID,LSOA11CD,LSOA11NM,x,y,Shape_Leng,Shape_Area,ID
1,E01017102,Portsmouth 013D,-1.08087466670,50.81137477350,2730.01268279000,177121.06732500000,1
2,E01017103,Portsmouth 013E,-1.08688993105,50.81029414250,4291.66378039000,333241.04676700000,2
3,E01017036,Portsmouth 013A,-1.07844676625,50.80779730670,2442.77197310000,135337.94082400000,3
4,E01017037,Portsmouth 013B,-1.08065256767,50.80606164630,2434.21842746000,96610.64493960000,4
5,E01017038,Portsmouth 013C,-1.08727862896,50.80436365310,4642.92215039000,408749.33938400000,5
